"IPROH_1E-3.spc"
"Wavelength nm."	"Abs."
633.50	0.041136
634.00	0.040918
634.50	0.040653
635.00	0.040459
635.50	0.040122
636.00	0.039803
636.50	0.039503
637.00	0.039207
637.50	0.038968
638.00	0.038801
638.50	0.038562
639.00	0.038380
639.50	0.038097
640.00	0.037812
640.50	0.037532
641.00	0.037318
641.50	0.036968
642.00	0.036829
642.50	0.036557
643.00	0.036392
643.50	0.036180
644.00	0.036009
644.50	0.035722
645.00	0.035615
645.50	0.035381
646.00	0.035218
646.50	0.034939
647.00	0.034740
647.50	0.034520
648.00	0.034353
648.50	0.034086
649.00	0.034034
649.50	0.033899
650.00	0.033601
650.50	0.033378
651.00	0.033195
651.50	0.032975
652.00	0.032796
652.50	0.032646
653.00	0.032555
653.50	0.032444
654.00	0.032253
654.50	0.032060
655.00	0.031879
655.50	0.031646
656.00	0.031403
656.50	0.031209
657.00	0.030970
657.50	0.030820
658.00	0.030617
658.50	0.030428
659.00	0.030311
659.50	0.030150
660.00	0.029965
660.50	0.029747
661.00	0.029586
661.50	0.029383
662.00	0.029178
662.50	0.029003
663.00	0.028863
663.50	0.028725
664.00	0.028458
664.50	0.028304
665.00	0.028179
665.50	0.028057
666.00	0.027914
666.50	0.027856
667.00	0.027721
667.50	0.027561
668.00	0.027433
668.50	0.027217
669.00	0.027040
669.50	0.027004
670.00	0.026886
670.50	0.026709
671.00	0.026640
671.50	0.026536
672.00	0.026319
672.50	0.026186
673.00	0.026035
673.50	0.025853
674.00	0.025708
674.50	0.025544
675.00	0.025380
675.50	0.025284
676.00	0.025177
676.50	0.024965
677.00	0.024849
677.50	0.024749
678.00	0.024572
678.50	0.024505
679.00	0.024500
679.50	0.024426
680.00	0.024281
680.50	0.024187
681.00	0.024032
681.50	0.023837
682.00	0.023577
682.50	0.023464
683.00	0.023321
683.50	0.023240
684.00	0.023177
684.50	0.023184
685.00	0.023048
685.50	0.022910
686.00	0.022796
686.50	0.022718
687.00	0.022571
687.50	0.022475
688.00	0.022490
688.50	0.022321
689.00	0.022194
689.50	0.022110
690.00	0.022038
690.50	0.021857
691.00	0.021766
691.50	0.021663
692.00	0.021628
692.50	0.021475
693.00	0.021363
693.50	0.021295
694.00	0.021169
694.50	0.021077
695.00	0.021013
695.50	0.020894
696.00	0.020776
696.50	0.020699
697.00	0.020574
697.50	0.020501
698.00	0.020485
698.50	0.020368
699.00	0.020238
699.50	0.020099
700.00	0.019937
700.50	0.019803
701.00	0.019675
701.50	0.019503
702.00	0.019449
702.50	0.019399
703.00	0.019236
703.50	0.019188
704.00	0.019169
704.50	0.019093
705.00	0.019039
705.50	0.019044
706.00	0.018920
706.50	0.018930
707.00	0.018775
707.50	0.018687
708.00	0.018580
708.50	0.018528
709.00	0.018400
709.50	0.018298
710.00	0.018223
710.50	0.018180
711.00	0.018171
711.50	0.018092
712.00	0.018045
712.50	0.017979
713.00	0.017900
713.50	0.017730
714.00	0.017649
714.50	0.017628
715.00	0.017453
715.50	0.017325
716.00	0.017243
716.50	0.017173
717.00	0.017076
717.50	0.017032
718.00	0.016999
718.50	0.016936
719.00	0.016899
719.50	0.016851
720.00	0.016869
720.50	0.016714
721.00	0.016619
721.50	0.016529
722.00	0.016482
722.50	0.016376
723.00	0.016317
723.50	0.016314
724.00	0.016203
724.50	0.016122
725.00	0.016044
725.50	0.016111
726.00	0.016076
726.50	0.016051
727.00	0.015994
727.50	0.015859
728.00	0.015777
728.50	0.015778
729.00	0.015746
729.50	0.015658
730.00	0.015689
730.50	0.015625
731.00	0.015475
731.50	0.015327
732.00	0.015275
732.50	0.015227
733.00	0.015170
733.50	0.015149
734.00	0.015112
734.50	0.014987
735.00	0.014849
735.50	0.014775
736.00	0.014677
736.50	0.014628
737.00	0.014676
737.50	0.014648
738.00	0.014594
738.50	0.014549
739.00	0.014470
739.50	0.014382
740.00	0.014380
740.50	0.014355
741.00	0.014347
741.50	0.014291
742.00	0.014179
742.50	0.014114
743.00	0.014038
743.50	0.013962
744.00	0.014016
744.50	0.013912
745.00	0.013789
745.50	0.013803
746.00	0.013690
746.50	0.013560
747.00	0.013628
747.50	0.013614
748.00	0.013431
748.50	0.013373
749.00	0.013276
749.50	0.013196
750.00	0.013086
750.50	0.013025
751.00	0.013017
751.50	0.013028
752.00	0.012965
752.50	0.012966
753.00	0.013007
753.50	0.012963
754.00	0.012816
754.50	0.012796
755.00	0.012746
755.50	0.012586
756.00	0.012454
756.50	0.012431
757.00	0.012346
757.50	0.012310
758.00	0.012298
758.50	0.012315
759.00	0.012379
